OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
22866,2016,NonResidential,Small- and Mid-Sized Office,Fishermen's Commerce Building,MAGNOLIA / QUEEN ANNE,1983,1.0,4,40571,10849,29722,Office,64.0,1286817.375,0.0,1286817.0,0.0,8.97,0.22
22867,2016,NonResidential,Small- and Mid-Sized Office,Icicle Seafoods,MAGNOLIA / QUEEN ANNE,1983,1.0,4,41707,15659,26048,Office,78.0,1785685.5,0.0,1755788.0,0.0,12.24,0.29
22883,2016,NonResidential,Warehouse,Keller Supply,MAGNOLIA / QUEEN ANNE,1955,1.0,2,39497,0,39497,Non-Refrigerated Warehouse,9.0,1809734.75,0.0,1344071.0,355986.0,28.28,0.72
22940,2016,NonResidential,Small- and Mid-Sized Office,MERIDIAN NORTH OFFICE BUILDING,NORTHWEST,1982,1.0,2,27574,0,27574,Office,73.0,1243709.625,0.0,1211349.0,0.0,8.44,0.31
22953,2016,NonResidential,Retail Store,Tux Shop,NORTH,1965,1.0,1,24982,0,24982,Retail Store,99.0,335245.0,0.0,335245.0,0.0,2.34,0.09
22955,2016,NonResidential,Senior Care Community,Foundation House at Northgate,North,1998,1.0,5,43661,0,43661,Senior Care Community,4.0,4141925.0,0.0,2741695.0,1194726.0,82.57,1.89
22962,2016,NonResidential,Small- and Mid-Sized Office,Northgate Meridian Bldg,NORTHWEST,1987,1.0,3,76105,27307,48798,Office,91.0,2596383.25,0.0,2472350.0,0.0,17.24,0.23
23011,2016,NonResidential,Retail Store,Bevmo,NORTH,1966,1.0,1,41615,0,41615,Retail Store,69.0,2001296.75,0.0,1900006.0,0.0,13.25,0.32
23017,2016,NonResidential,Medical Office,5th Ave Professional Center,NORTH,1988,1.0,3,28841,0,28841,Medical Office,55.0,1525049.625,0.0,955324.0,503875.0,33.42,1.16
23040,2016,NonResidential,K-12 School,Holy Family School,DELRIDGE,1924,1.0,2,42975,0,42975,K-12 School,92.0,1124454.25,0.0,173165.0,786187.0,42.96,1.0
23051,2016,NonResidential,Small- and Mid-Sized Office,MMFS Upper Bldg,DELRIDGE,1988,1.0,2,30659,0,30659,Office,88.0,2828171.5,0.0,1804388.0,814700.0,55.85,1.82
23065,2016,NonResidential,Medical Office,Meridian Center for Health,NORTHWEST,1979,1.0,2,34759,0,34759,Medical Office,81.0,1633105.375,0.0,1633105.0,0.0,11.39,0.33
23071,2016,NonResidential,Hospital,Main Hospital - All Wings,NORTHWEST,1966,8.0,1,415632,0,415632,Hospital (General Medical & Surgical),85.0,100328264.0,0.0,42864158.0,56096612.0,3278.11,7.89
23098,2016,NonResidential,Supermarket / Grocery Store,Red Apple Market,GREATER DUWAMISH,1965,1.0,1,21603,0,21603,Supermarket/Grocery Store,16.0,5927199.5,0.0,3900058.0,1933742.0,129.89,6.01
23113,2016,NonResidential,Medical Office,Central Campus,EAST,1964,1.0,3,591981,0,591981,Medical Office,60.0,103985264.0,0.0,48002292.0,54671394.0,3238.24,5.47
23115,2016,NonResidential,Distribution Center,Intermountain Supply,DELRIDGE,1979,1.0,1,42900,0,42900,Distribution Center,53.0,461205.5938,0.0,436253.0,0.0,3.04,0.07
23158,2016,NonResidential,Warehouse,KOF Associates,DOWNTOWN,1956,1.0,2,25840,0,25840,Non-Refrigerated Warehouse,92.0,310602.3125,0.0,313528.0,0.0,2.19,0.08
23164,2016,NonResidential,Small- and Mid-Sized Office,The Weller Building,DOWNTOWN,2001,1.0,5,70332,22095,48237,Office,89.0,2000777.25,0.0,1866104.0,115011.0,19.12,0.27
23228,2016,NonResidential,Supermarket / Grocery Store,Safeway 1143 - 15th Ave,BALLARD,1994,1.0,1,45522,0,45522,Supermarket/Grocery Store,22.0,12559767.0,0.0,7019711.0,5230709.0,326.74,7.18
23268,2016,NonResidential,Small- and Mid-Sized Office,Building F,GREATER DUWAMISH,1997,1.0,2,40657,0,40657,Office,57.0,2828385.0,0.0,2742404.0,84424.0,23.6,0.58
23297,2016,NonResidential,Residence Hall,St. James Cathedral & Rectory,EAST,1904,1.0,1,44086,0,44086,Residence Hall/Dormitory,29.0,4056815.5,1920474.25,1218944.0,513291.0,184.0,4.17
23299,2016,NonResidential,Small- and Mid-Sized Office,Pigott Building,EAST,1970,1.0,7,54372,20824,33548,Office,94.0,1479454.375,0.0,1403820.0,0.0,9.79,0.18
23311,2016,NonResidential,Medical Office,HART First Hill LLC,EAST,1945,1.0,0,274568,0,274568,Medical Office,52.0,25358122.0,13296249.0,12015275.0,0.0,1110.07,4.04
23313,2016,NonResidential,Small- and Mid-Sized Office,Swedish Invex Building,EAST,1956,1.0,3,21282,0,21282,Office,69.0,1380656.125,762542.3125,483381.0,0.0,62.23,2.92
23331,2016,NonResidential,Small- and Mid-Sized Office,Gateway Plaza,NORTH,1985,1.0,3,33580,12990,20590,Office,100.0,409578.4063,0.0,409579.0,0.0,2.86,0.09
23342,2016,NonResidential,Warehouse,Daily Racing Form,NORTH,1977,1.0,1,21936,0,21936,Non-Refrigerated Warehouse,100.0,116642.5,0.0,71827.0,41303.0,2.69,0.12
23400,2016,NonResidential,Small- and Mid-Sized Office,Frye Commerce Center,DELRIDGE,1988,1.0,2,66484,0,66484,Office,69.0,3098383.5,0.0,3046543.0,0.0,21.24,0.32
23404,2016,NonResidential,Small- and Mid-Sized Office,Swedish Cherry Building,EAST,1959,1.0,3,25151,0,25151,Office,85.0,1481688.75,748984.6875,607890.0,0.0,62.05,2.47
23408,2016,NonResidential,Hotel,Hotel - The Baroness Hotel,EAST,1928,1.0,6,35770,0,35770,Hotel,56.0,2835357.0,0.0,605147.0,2035833.0,112.34,3.14
23410,2016,NonResidential,Hotel,Hotel - Inn at Virginia Mason,EAST,1928,1.0,9,48006,0,48006,Hotel,85.0,3182794.5,0.0,1533438.0,1706316.0,101.31,2.11
23419,2016,NonResidential,Small- and Mid-Sized Office,CSC Engineering (A),GREATER DUWAMISH,1973,1.0,2,21315,0,21315,Office,34.0,3161573.5,0.0,820533.0,1975892.0,110.66,5.19
23459,2016,NonResidential,Small- and Mid-Sized Office,18 West Mercer,MAGNOLIA / QUEEN ANNE,1984,1.0,4,57110,15812,41298,Office,69.0,2275712.0,0.0,1994494.0,195966.0,24.31,0.43
23846,2016,NonResidential,Small- and Mid-Sized Office,Diamond Building,DOWNTOWN,1979,1.0,3,34030,0,34030,Office,50.0,1815642.75,0.0,1530330.0,218300.0,22.26,0.65
23504,2016,NonResidential,Distribution Center,3223,GREATER DUWAMISH,1952,1.0,1,41308,0,41308,Distribution Center,7.0,1792023.375,0.0,1054767.0,587704.0,38.57,0.93
23618,2016,NonResidential,Warehouse,"Ocean Beauty Alaska Bldg, LLC",MAGNOLIA / QUEEN ANNE,1957,1.0,1,38255,0,38255,Non-Refrigerated Warehouse,12.0,1173175.75,0.0,401825.0,583577.0,33.8,0.88
23653,2016,NonResidential,Small- and Mid-Sized Office,Ship Canal,LAKE UNION,1989,1.0,3,48924,0,48924,Office,71.0,2398376.5,0.0,1343373.0,939178.0,59.24,1.21
23671,2016,NonResidential,Small- and Mid-Sized Office,Areis Building,LAKE UNION,1959,1.0,4,50333,18036,32297,Office,88.0,1761932.5,0.0,1602084.0,0.0,11.17,0.22
23674,2016,NonResidential,Small- and Mid-Sized Office,2345 Eastlake,LAKE UNION,2000,1.0,3,57132,21908,35224,Office,73.0,1994967.75,0.0,1994967.0,0.0,13.91,0.24
23689,2016,NonResidential,Worship Facility,The Salvation Army,DELRIDGE,1957,1.0,2,24224,0,24224,Worship Facility,52.0,1045964.625,0.0,534935.0,433091.0,26.73,1.1
23691,2016,NonResidential,Worship Facility,Westood Christian Community,DELRIDGE,1963,1.0,1,23706,0,23706,Worship Facility,78.0,456483.0938,0.0,176869.0,223902.0,13.12,0.55
23716,2016,NonResidential,Supermarket / Grocery Store,Saars Marketplace Foods,SOUTHEAST,1959,1.0,1,67450,0,67450,Supermarket/Grocery Store,97.0,2842819.5,0.0,2061754.0,781065.0,55.86,0.83
23742,2016,NonResidential,Small- and Mid-Sized Office,1419 Elliott Ave,MAGNOLIA / QUEEN ANNE,1979,1.0,2,43016,5400,37616,Office,100.0,1458046.0,0.0,107823.0,1126273.0,60.57,1.41
23744,2016,NonResidential,Small- and Mid-Sized Office,1430-1448 Elliott Ave W,MAGNOLIA / QUEEN ANNE,1940,1.0,2,20671,0,20671,Office,98.0,746543.625,0.0,198321.0,440186.0,24.76,1.2
23757,2016,NonResidential,Warehouse,Tile for Less,GREATER DUWAMISH,1927,1.0,1,21600,0,21600,Non-Refrigerated Warehouse,57.0,557887.875,0.0,264154.0,235675.0,14.36,0.66
23762,2016,NonResidential,Worship Facility,Hillcrest Presbyterian Church,SOUTHWEST,1977,1.0,1,35844,0,35844,Worship Facility,14.0,866126.375,0.0,866126.0,0.0,6.04,0.17
23768,2016,NonResidential,Small- and Mid-Sized Office,Wallingford Plaza,LAKE UNION,1916,1.0,3,31774,0,31774,Office,85.0,1672465.625,0.0,1477827.0,161309.0,18.87,0.59
23834,2016,NonResidential,Warehouse,South Seattle Business Park- Bldg A,GREATER DUWAMISH,1953,1.0,1,26094,0,26094,Non-Refrigerated Warehouse,19.0,788592.5,0.0,709991.0,0.0,4.95,0.19
23835,2016,NonResidential,Small- and Mid-Sized Office,South Seattle Business Park - Bldg B,GREATER DUWAMISH,1983,1.0,2,23687,0,23687,Office,68.0,1175914.875,0.0,1084554.0,0.0,7.56,0.32
23836,2016,NonResidential,Small- and Mid-Sized Office,South Seattle Business Park - Bldg C,GREATER DUWAMISH,1983,1.0,2,24221,0,24221,Office,20.0,1506510.25,0.0,1435563.0,0.0,10.01,0.41
23857,2016,NonResidential,Mixed Use Property,Pier 56,DOWNTOWN,1900,1.0,2,71919,14083,57836,Office,37.0,5381105.0,0.0,5381104.0,0.0,37.51,0.52
23858,2016,NonResidential,Small- and Mid-Sized Office,Pier 55,DOWNTOWN,1900,1.0,2,32027,0,32027,Office,54.0,3999505.25,0.0,1820615.0,2178890.0,128.41,4.01
23867,2016,NonResidential,Small- and Mid-Sized Office,Airport Way,GREATER DUWAMISH,1914,1.0,3,34425,0,34425,Office,84.0,2143122.25,0.0,1238171.0,780215.0,50.07,1.45
23888,2016,NonResidential,Medical Office,Swedish Health Services,SOUTHWEST,1984,1.0,3,40304,12000,28304,Medical Office,5.0,1961581.5,0.0,1961581.0,0.0,13.67,0.34
23896,2016,NonResidential,Distribution Center,The Long Building,GREATER DUWAMISH,1990,1.0,1,29619,0,29619,Distribution Center,50.0,1524858.875,0.0,553737.0,726527.0,42.45,1.43
23906,2016,NonResidential,K-12 School,St. Mary Giddens School,CENTRAL,1922,1.0,2,21592,0,21592,K-12 School,47.0,1651553.75,0.0,472592.0,959192.0,54.24,2.51
23956,2016,NonResidential,K-12 School,St. Catherine School,NORTH,1931,1.0,2,23923,0,23923,K-12 School,69.0,880687.3125,0.0,504519.0,301124.0,19.51,0.82
23910,2016,NonResidential,Small- and Mid-Sized Office,ifo and associates,CENTRAL,1907,1.0,3,25200,0,25200,Office,47.0,1808592.0,0.0,1208901.0,539543.0,37.08,1.47
23912,2016,NonResidential,Small- and Mid-Sized Office,1416 S Jackson,CENTRAL,1947,1.0,1,45068,0,45068,Office,100.0,309214.0,0.0,141784.0,143073.0,8.59,0.19
23918,2016,NonResidential,Small- and Mid-Sized Office,CJ and J Pacific,CENTRAL,1963,1.0,2,28296,0,28296,Office,80.0,1301418.875,0.0,1328461.0,0.0,9.26,0.33
23928,2016,NonResidential,Small- and Mid-Sized Office,Planned Parenthood Western,CENTRAL,1999,1.0,3,31357,0,31357,Office,55.0,2085718.125,0.0,1774664.0,190411.0,22.48,0.72
23930,2016,NonResidential,Distribution Center,80,GREATER DUWAMISH,1968,1.0,1,160000,0,160000,Distribution Center,94.0,1157976.5,0.0,1157977.0,0.0,8.07,0.05
23934,2016,NonResidential,Warehouse,Prologis Park Seattle 2,GREATER DUWAMISH,1960,1.0,1,53550,0,53550,Non-Refrigerated Warehouse,11.0,5129831.0,0.0,1499028.0,3091218.0,174.62,3.26
23935,2016,NonResidential,Warehouse,Messenger Corp,GREATER DUWAMISH,1924,1.0,1,38412,0,38412,Non-Refrigerated Warehouse,62.0,1914443.25,0.0,421294.0,1207246.0,67.05,1.75
23951,2016,NonResidential,Small- and Mid-Sized Office,LONG Building Technologies,GREATER DUWAMISH,1953,1.0,1,24291,0,24291,Office,98.0,751206.5,0.0,329487.0,325936.0,19.61,0.81
23952,2016,NonResidential,Warehouse,NWCP-SEA Bldg D,GREATER DUWAMISH,1966,1.0,1,36544,0,36544,Non-Refrigerated Warehouse,5.0,1338475.5,0.0,1269847.0,0.0,8.85,0.24
